Metric,Akbank,Garanti,Isbank
CAR,19.03,17.5,17.1
CET1,14.26,13.1,13.5
Cost of Risk (bps),214.0,151.0,238.0
Equity,310169.0,446636.0,427635.0
IRRBB,25.812052,11628037.0,25.141166
LDR,86.0,83.6,74.4
Loan Growth (YoY),39.14927572091359,51.38290291,39.11988214915916
NIM,2.5,5.4,2.3
NPL Ratio,3.4,3.1,3.2
Net Profit,57227.0,111262.0,67441.0
ROA,1.9,2.9,1.69690299666009
ROE,21.5,29.1,18.08135146982531
Stage 3 Coverage,63.7,62.8,63.3
Total Assets,3558950.0,4547774.0,4624940.0
Total Deposits,2173421.0,3150034.0,3098900.0
Total Loans,1850222.0,2631872.0,2305096.0
